Player,PTS,eFGperc
Bradley Beal,23.4,0.463
John Wall,17.4,0.405
Paul Pierce,14.6,0.652
Marcin Gortat,12.4,0.628
Otto Porter Jr.,10.0,0.511
Nenê,7.9,0.447
Ramon Sessions,7.5,0.443
Drew Gooden,6.8,0.475
Will Bynum,6.3,0.536
Kevin Séraphin,5.5,0.484
Kris Humphries,2.0,1.000
Martell Webster,2.0,0.500
Garrett Temple,1.8,0.167
Rasual Butler,0.0,0.000
